word,meaning,level,frequency
own,a.自己的 vt.有，拥有,CET4,
owner,物主， 所有人,CET4,
ownership,所有， 所有制,CET4,
ox,n.牛；公牛，阉牛,CET4,
oxygen,氧， 氧气,CET4,
pace,踱步；步，步速；速度；节奏,CET4,
pacific,a.和平的 n.太平洋,CET4,
pack,捆扎，把…打包；使挤在一起，塞满；包， 小盒,CET4,
package,包裹，包装；一揽子交易；把…打包； 包装,CET4,
packet,小包， 小盒,CET4,
pad,垫，衬垫；便笺本；发射台，直升机起落场；填塞,CET4,
page,n.页,CET4,
pail,n.桶，提桶,CET4,
pain,n.痛，疼痛；辛苦,CET4,
painful,疼痛的， 引起疼痛的； 困难的； 令人不快的,CET4,
paint,vt.画；油漆 vi.绘画,CET4,
painter,漆工； 画家,CET4,
painting,n.油画；绘画；着色,CET4,
pair,n.一对 vi.成对，配对,CET4,
palace,n.宫，宫殿,CET4,
pale,a.苍白的；浅的,CET4,
palm,手掌， 掌状物； 棕榈树,CET4,
pan,n.平底锅，盘子,CET4,
panda,n.小猫熊；猫熊,CET4,
pane,n.窗格玻璃,CET4,
panel,专门小组； 面， 板； 控制板， 仪表盘,CET4,
panic,恐慌， 惊慌失措；恐慌，惊慌，慌乱,CET4,
pant,n.气喘；心跳,CET4,
pants,长裤， 便裤； 内裤,CET4,
paper,n.纸；官方文件；文章,CET4,
parade,游行， 列队前进； 招摇而行；游行；检阅,CET4,
paragraph,段， 节,CET4,
parallel,平行的；类似的；并列的，并联的；可相比拟的事物；相似处；平行线，平行面；纬线；与…平行； 与…相似， 与…相当， 比得上,CET4,
parcel,包裹，小包，邮包；分， 分配； 把…包起来， 捆扎,CET4,
pardon,n.原谅；赦免 vt.原谅,CET4,
parent,n.父亲，母亲，双亲,CET4,
park,n.公园；停车场,CET4,
parliament,议会， 国会,CET4,
part,n.一部分；零件；本份,CET4,
partial,部分的； 不公平的； 偏爱的， 偏袒的,CET4,
partially,ad.部分地,CET4,
participate,参与， 参加； 分享,CET4,
particle,粒子， 微粒； 小品词， 语助词,CET4,
particular,a.特殊的；特定的,CET4,
particularly,特别， 尤其,CET4,
partly,ad.部分地，不完全地,CET4,
partner,做…的搭档；伙伴，合伙人，搭档，配偶,CET4,
party,n.党，党派；聚会,CET4,
pass,vt.经过；通过；度过,CET4,
passage,n.通过；通路，通道,CET4,
passenger,"n.乘客,旅客,过路人",CET4,
passion,激情， 热情； 酷爱,CET4,
passive,被动的， 消极的,CET4,
passport,护照,CET4,
past,a.过去的 n.过去,CET4,
paste,糊，糨糊；粘， 贴,CET4,
pat,非常恰当的， 适时的；轻拍,CET4,
patch,补丁；斑，与周围不同的部分；一小块地；补， 修补,CET4,
path,n.路，小道；道路,CET4,
patience,忍耐， 耐心,CET4,
patient,忍耐的，有耐心的；病人,CET4,
pattern,型，式样，模型；仿制， 使照…样子,CET4,
pause,n.&vi.中止，暂停,CET4,
pavement,n.(英)人行道,CET4,
paw,用爪子抓， 用蹄扒； 翻找；爪子,CET4,
pay,vt.支付；付给；给予,CET4,
payment,支付， 支付的款项,CET4,
pea,豌豆,CET4,
peace,n.和平；和睦；平静,CET4,
peaceful,a.和平的；安静的,CET4,
peach,n.桃子，桃树,CET4,
peak,达到高峰， 达到最大值；最大值的，高峰的；山顶，顶点,CET4,
pear,n.梨子，梨树,CET4,
peasant,n.农民,CET4,
pebble,n.卵石，细砾,CET4,
peculiar,奇怪的， 古怪的； 特有的,CET4,
peep,vi.(从缝隙中)偷看,CET4,
peer,仔细看， 费力地看；同龄人，同等地位的人；贵族,CET4,
pen,n.钢笔，自来水笔,CET4,
penalty,处罚， 惩罚； 罚金,CET4,
pencil,n.铅笔,CET4,
penetrate,透入， 渗入， 进入； 刺穿； 洞察， 了解,CET4,
penny,n.(英)便士；(美)分,CET4,
pension,养老金，抚恤金；发给…养老金,CET4,
people,n.人民，民族；人,CET4,
pepper,胡椒，胡椒粉；在…上撒； 使布满,CET4,
per,每， 每一,CET4,
perceive,感知， 感觉， 察觉； 认识到， 意识到； 理解,CET4,
percent,n.百分之…,CET4,
percentage,百分比， 百分率,CET4,
perception,感知， 觉察； 认识， 观念， 看法,CET4,
perfect,a.完美的；完全的,CET4,
perfectly,ad.很，完全,CET4,
perform,做， 履行， 完成； 表演， 演出； 工作情况， 表现,CET4,
performance,演出； 执行， 完成； 工作情况， 表现； 工作性能,CET4,
perhaps,ad.也许，可能，多半,CET4,
period,n.时期；学时；句号,CET4,
permanent,永久的， 固定的,CET4,
permanently,ad.永久/持久地,CET4,
permission,允许， 许可， 准许,CET4,
permit,vt.允许 n.执照,CET4,
persist,坚持， 持续,CET4,
persistent,坚持的， 不屈不挠的； 持续不断的； 反复出现的,CET4,
person,n.人；人身；本人,CET4,
personal,a.个人的；本人的,CET4,
personality,人格， 个性； 人物， 名人,CET4,
personnel,人员， 员工,CET4,
perspective,视角， 观点； 远景， 景观； 透视画法， 透视图,CET4,
persuade,vt.说服 vi.被说服,CET4,
persuasive,劝诱的； 有说服力的,CET4,
pessimistic,悲观的,CET4,
pet,n.爱畜；宠儿 a.宠爱的,CET4,
petrol,汽油,CET4,
petroleum,石油,CET4,
phase,阶段； 方面； 相， 相位,CET4,
phenomenon,现象,CET4,
philosopher,哲学家， 哲人,CET4,
philosophy,哲学， 哲理， 人生哲学,CET4,
phone,n.电话，电话机；耳机,CET4,
photograph,n.照/相片,CET4,
photographic,a.摄影的，摄影用的,CET4,
phrase,n.短语；习惯用语,CET4,
physical,身体的； 物理的； 物质的， 有形的,CET4,
physician,内科医生,CET4,
physicist,物理学家,CET4,
physics,n.物理学,CET4,
piano,n.钢琴,CET4,
pick,n.镐，鹤嘴锄；vt.拾，摘 vi.采摘,CET4,
picnic,n.郊游，野餐 vi.野餐,CET4,
picture,n.画，图片 vt.画,CET4,
pie,n.(西点)馅饼,CET4,
piece,n.碎片，块 vt.拼合,CET4,
pierce,刺穿， 穿孔于,CET4,
pig,n.猪，小猪，野猪,CET4,
pigeon,鸽子,CET4,
pile,n.堆 vt.堆叠，累积,CET4,
pill,药丸,CET4,
pillar,柱， 柱子； 栋梁,CET4,
pillow,枕头,CET4,
pilot,试验性的， 试点的；引航员；飞行员；驾驶；为引航；试验，试用,CET4,
pin,n.针，饰针 n.别住,CET4,
pinch,捏，拧；撮， 微量,CET4,
pine,消瘦， 衰弱； 痛苦， 悲哀； 渴望；松树，松木,CET4,
pink,n.粉红色 a.粉红色的,CET4,
pint,品脱,CET4,
pioneer,n.拓荒者；先驱者,CET4,
pipe,n.管子，导管；烟斗,CET4,
pipeline,n.管道，管线,CET4,
pit,地洞，坑；煤矿，矿井；使有坑,CET4,
pitch,投， 掷； 架设， 搭， 营； 颠簸；球场；程度，强度；高度；音高；沥青；投掷；使猛然倒下；表达；把…定于特定程度；定调,CET4,
pity,n.怜悯；遗憾 vt.同情,CET4,
place,n.地方，地点；住所,CET4,
plain,n.平原 a.清楚的,CET4,
plan,n.&vt.计划，打算,CET4,
plane,n.平面；飞机,CET4,
planet,行星,CET4,
plant,n.植物；工厂 vt.栽种,CET4,
plantation,种植园， 人工林,CET4,
plastic,塑料的；可塑的；塑料， 塑料制品； 信用卡,CET4,
plate,n.板，片，盘 vt.电镀,CET4,
platform,平台， 站台， 讲台； 纲领， 宣言,CET4,
play,vi.玩，游戏；演奏,CET4,
player,n.游戏的人；比赛者,CET4,
playground,n.操场，运动场,CET4,
pleasant,a.令人愉快的，舒适的,CET4,
please,vt.使高兴，请 vi.满意,CET4,
pleasure,n.愉快，快乐；乐事,CET4,
pledge,保证，誓言；保证， 许诺,CET4,
plentiful,丰富的， 充足的； 大量的,CET4,
plenty,n.丰富，充足，大量,CET4,
plot,密谋， 计划； 绘制…的平面图， 在图上标绘…的位置；故事情节；计划，密谋；小块土地,CET4,
plough,n.犁 vt.&vi.犁，耕,CET4,
pluck,vt.采，摘；拉下 n.拉,CET4,
plug,插头，插座；塞子，栓；把…塞住， 用…塞住,CET4,
plunge,纵身投入， 猛冲； 猛跌,CET4,
plural,复数的；复数,CET4,
pluralism,多重性； 兼职， 兼任,CET4,
plus,表示加的；正的；加，加上；加号， 正号,CET4,
pocket,n.衣袋 n.袖珍的,CET4,
poem,诗,CET4,
poet,诗人,CET4,
poetry,诗， 诗歌， 诗集,CET4,
point,n.点；要点；细目；分,CET4,
poison,毒，毒药；毒害,CET4,
poisonous,有毒的； 恶毒的,CET4,
pole,杆； 极， 磁极， 电极,CET4,
police,n.警察；警察当局,CET4,
policeman,n.警察,CET4,
policy,政策， 方针； 保险单,CET4,
polish,磨光；修改，润色，使优美；擦光剂,CET4,
polite,a.有礼貌的；有教养的,CET4,
political,a.政治的，政治上的,CET4,
politician,政治家， 政客,CET4,
politics,政治， 政治学； 政纲， 政见,CET4,
poll,民意测验；政治选举，大选；对…进行民意测验； 获得,CET4,
pollute,弄脏， 污染； 腐蚀,CET4,
pollution,污染， 污染物,CET4,
pond,池塘,CET4,
pool,n.水塘，游泳池，水池；n.共用物 vt.共有,CET4,
poor,a.贫穷的；贫乏的,CET4,
pop,n.流行音乐，流行歌曲；n.砰的一声，爆破声,CET4,
popular,a.民众的；流行的,CET4,
popularity,普及， 流行； 声望,CET4,
popularize,普及,CET4,
population,n.人口；全体居民,CET4,
pork,n.猪肉,CET4,
porridge,n.粥，麦片粥,CET4,
port,n.港，港口,CET4,
portable,便于携带的， 手提式的,CET4,
porter,搬运工人； 看门人， 大楼管理员,CET4,
portion,一部分，一份；分配， 把…分给,CET4,
portrait,肖像， 画像,CET4,
portuguese,n.葡萄牙人/语,CET4,
pose,摆姿势；假装，装腔作势；使摆好姿势；造成，引起；提出，陈述；样子， 姿势,CET4,
position,n.位置；职位；姿势,CET4,
positive,确实的， 明确的； 积极的， 肯定的,CET4,
possess,占用， 拥有,CET4,
possession,有， 所有； 所有物,CET4,
possibility,可能； 可能的事,CET4,
possible,a.可能的；可能存在的,CET4,
possibly,ad.可能地；也许,CET4,
post,n.柱，桩，杆 vt.贴出；n.邮政，邮寄；邮件；n.岗位，哨所；职位,CET4,
postage,邮费， 邮资,CET4,
postman,n.邮递员,CET4,
postpone,延迟， 延期,CET4,
pot,n.锅，壶，罐，盆,CET4,
potato,n.马铃薯，土豆,CET4,
potential,潜在的，可能的；潜力， 潜能,CET4,
pound,n.磅；英磅；vt.捣碎；舂烂；猛击,CET4,
pour,灌， 倒； 倾泻,CET4,
poverty,贫穷， 贫困,CET4,
powder,粉， 粉末,CET4,
power,n.能力；力；权；幂,CET4,
powerful,强大的， 有力的， 有权的； 强壮的， 强健的,CET4,
practical,a.实践的；实用的,CET4,
practically,几乎， 简直； 实际上,CET4,
practice,n.实践；练习；业务,CET4,
practise,vt.练习，实习，训练,CET4,
praise,n.赞扬，赞美 vi.赞扬,CET4,
pray,祈祷， 祈求； 请求， 恳求,CET4,
prayer,祷告， 祈祷； 祷文； 祈求， 祈望,CET4,
precaution,预防； 防备， 警惕,CET4,
preceding,在前的， 在先的， 前面的,CET4,
precious,珍贵的， 宝贵的,CET4,
precise,精确的， 准确的； 严谨的,CET4,
precision,精确， 精密,CET4,
predict,预言， 预告， 预测,CET4,
predictable,可预料的,CET4,
preface,序言， 前言， 引言,CET4,
prefer,vt.宁可，宁愿,CET4,
preferable,更可取的， 更好的， 更合意的,CET4,
preference,喜爱， 偏爱； 偏爱的事物； 优先,CET4,
pregnant,怀孕的， 妊娠的,CET4,
prejudice,偏见，成见；使有偏见； 对…不利， 损害,CET4,
preliminary,预备的，初步的；初步做法， 起始行为,CET4,
preparation,准备， 预备； 制剂,CET4,
prepare,vt.&vi.准备，预备,CET4,
preposition,介词,CET4,
prescribe,开； 吩咐采用； 规定， 指定,CET4,
presence,出席， 到场； 存在； 仪表， 仪态,CET4,
present,a.现在的 n.目前；vt.赠送; 介绍; 提出；n.礼物，赠送物,CET4,
presentation,提供， 显示； 外观， 图像； 授予， 赠送； 报告， 介绍； 表演,CET4,
presently,不久， 一会儿； 现在， 目前,CET4,
preserve,保护， 维持； 保存； 腌制,CET4,
president,n.总统；校长；会长,CET4,
press,vt.压，按，揿；催促,CET4,
pressure,压，压强；压迫；对…施加压力， 迫使,CET4,
presumably,大概， 可能， 据推测,CET4,
pretend,装作， 假装,CET4,
pretty,a.漂亮的，标致的,CET4,
prevail,流行， 盛行,CET4,
prevent,vt.预防，防止；阻止,CET4,
preventive,预防性的,CET4,
previous,先的， 前的； 以前的,CET4,
previously,ad.先前，预先,CET4,
price,n.价格，价钱；代价,CET4,
pride,n.骄傲；自豪 vt.自夸,CET4,
priest,神父， 牧师,CET4,
primarily,首先； 主要地,CET4,
primary,首要的， 主要的； 基本的； 最初的， 初级的,CET4,
prime,首要的；最好的；青春；全盛时期；使准备好,CET4,
primitive,原始的，早期的；简单的；粗糙的；原人； 原始事物,CET4,
prince,n.王子，亲王,CET4,
princess,n.公主，王妃,CET4,
principal,最重要的，主要的；负责人， 校长； 资本， 本金； 主要演员， 主角,CET4,
principle,原则， 原理， 道义； 基本信念， 信条,CET4,
print,vt.印刷 n.印刷；正片,CET4,
prior,在前的； 优先的,CET4,
priority,优先， 重点； 优先考虑的事,CET4,
prison,n.监狱，监禁,CET4,
prisoner,n.囚犯,CET4,
private,私人的；秘密的；私下的；私营的；士兵， 列兵,CET4,
privilege,特权； 优惠,CET4,
prize,n.奖赏，奖金 vt.珍视,CET4,
probable,很可能的， 大概的,CET4,
probably,ad.或许，大概,CET4,
problem,n.问题；习题，问题,CET4,
procedure,程序， 手续， 步骤,CET4,
proceed,继续进行； 行进， 前进,CET4,
process,过程；制作法；程序；加工； 办理,CET4,
procession,队伍， 行列,CET4,
produce,vt.生产；产生；展现,CET4,
product,产品， 产物； 乘积,CET4,
production,n.生产；产品；总产量,CET4,
profession,职业； 声明， 表白,CET4,
professional,职业的，专业的，专门的；自由职业者， 专业人员,CET4,
professor,n.教授,CET4,
profile,侧面；人物简介；轮廓，形象；姿态，引人注目的状态；为…描绘； 写…的传略,CET4,
profit,受益；益处；利润，收益；有益于，有利于,CET4,
program,n.节目单；大纲；程序,CET4,
progress,n.前进，进展；进步,CET4,
progressive,前进的； 渐进的； 进行式的,CET4,
prohibit,禁止， 不准,CET4,
project,伸出； 投射； 预计；方案， 计划； 课题， 项目； 工程,CET4,
prolong,拉长， 延长,CET4,
prominent,突出的， 杰出的； 突起的， 凸出的,CET4,
promise,n.诺言；指望 vt.允诺,CET4,
promote,促进， 增进， 发扬； 提升； 宣传， 推销,CET4,
prompt,敏捷的，及时的；促使，推动；提示；提示台词， 提示,CET4,
pronoun,代词,CET4,
pronounce,vt.发…的音；宣布,CET4,
pronunciation,n.发音(法),CET4,
proof,耐…的， 能防…的；证据，证明；校样，样张,CET4,
proper,a.适合的；合乎体统的,CET4,
properly,ad.适当地；彻底地,CET4,
property,财产， 所有物； 房产； 物业； 性质， 性能,CET4,
proportion,比例； 部分， 份儿； 均衡， 相称,CET4,
proportional,比例的， 成比例的,CET4,
proposal,提议， 建议； 求婚,CET4,
propose,提议， 建议， 提出； 提名， 推荐； 打算， 计划； 求婚,CET4,
prospect,勘探， 勘察；前景， 前途， 可能性； 景象， 景色； 可能成为主顾的人； 有希望的候选人,CET4,
prosperity,繁荣， 兴旺,CET4,
prosperous,繁荣的， 兴旺的,CET4,
protect,vt.保护，保卫，警戒,CET4,
protection,保护， 防护,CET4,
protective,保护的， 防护的,CET4,
protein,蛋白质,CET4,
protest,抗议， 反对；抗议， 反对,CET4,
protocol,礼仪， 礼节； 草案， 议定书,CET4,
proud,a.骄傲的；自豪的,CET4,
prove,证实， 证明； 结果是,CET4,
provide,提供， 供给,CET4,
provided,假如， 若是,CET4,
providing,倘若,CET4,
province,省； 领域， 范围,CET4,
provision,供应； 准备； 条款， 规定； 给养， 口粮,CET4,
provocation,激怒， 刺激； 挑衅， 挑拨,CET4,
provoke,对…挑衅， 激怒； 激起， 引起,CET4,
psychological,心理的,CET4,
public,a.公众的 n.公众,CET4,
publication,出版， 发行； 公布， 发表,CET4,
publicity,公众的注意， 名声； 宣传， 宣扬,CET4,
publish,公布， 发表； 出版， 刊印,CET4,
puff,n.(一)喷，(一)吹,CET4,
pull,vt.拉，拖；拉，拉力,CET4,
pulse,搏动， 跳动；脉搏；脉冲,CET4,
pump,泵；抽， 泵送， 打气,CET4,
punch,猛击；穿孔；猛击； 冲床； 穿孔机； 力量， 效力,CET4,
punctual,严守时刻的， 准时的,CET4,
punish,vt.罚，惩罚，处罚,CET4,
punishment,n.罚，惩罚，处罚,CET4,
pupil,n.学生，小学生；n.瞳孔,CET4,
puppet,n.木偶，玩偶；傀儡,CET4,
purchase,买，购买；购买； 购买的物品,CET4,
pure,a.纯粹的；纯洁的,CET4,
purely,ad.纯粹地，完全地,CET4,
purple,紫的；紫色,CET4,
purpose,n.目的；意图；效果,CET4,
purse,钱包， 女用小提包,CET4,
pursue,继续； 从事； 追赶， 追踪； 追求,CET4,
push,vt.推，逼迫 vi.推,CET4,
put,vt.放，摆；使处于,CET4,
puzzle,迷惑，为难；苦思；智力测验； 谜， 难题， 令人费解的事； 困惑， 迷惑,CET4,
qualification,资格， 资格证明， 合格证书； 限制， 限定,CET4,
qualify,胜任， 具有资格， 合格； 限定,CET4,
quality,n.质量；品质，特性,CET4,
quantity,n.量，数量，分量,CET4,
quarrel,n.争吵，吵架，口角,CET4,
quarter,n.四分之一；一刻钟,CET4,
queen,n.王后；女王,CET4,
question,n.发问；问题；疑问,CET4,
queue,排队等候；长队，行列,CET4,
quick,a.快的；敏捷的,CET4,
quicken,vt.加快 vi.加快,CET4,
quickly,ad.快，迅速,CET4,
quiet,a.寂静的；安静的,CET4,
quilt,n.被(子),CET4,
quit,停止， 放弃； 离开， 辞,CET4,
quite,ad.完全；相当；的确,CET4,
quiz,智力竞赛，问答比赛；小测验；考查， 盘问,CET4,
quotation,引文， 引语， 语录； 报价， 牌价， 行情,CET4,
quote,引用，援引；引文， 引语； 报价， 牌价； 引号,CET4,
rabbit,n.兔子，野兔,CET4,
race,n.比赛，竞赛，竞争；n.人种，种族，民族,CET4,
racial,种族的， 人种的,CET4,
rack,挂架，搁架；使痛苦， 折磨； 尽力使用,CET4,
radar,雷达,CET4,
radiation,放射物， 辐射能； 辐射,CET4,
radical,根本的，基本的；激进的，激进派的；激进分子,CET4,
radio,n.无线电；收音机,CET4,
radioactivity,n.放射性，放射(现象),CET4,
radish,n.小萝卜,CET4,
radium,n.镭,CET4,
rag,破布， 碎布； 破旧衣服,CET4,
rage,狂吹； 汹涌； 激烈进行； 发怒， 发火；狂怒，盛怒；风靡一时的事物，时尚,CET4,
raid,袭击； 突入查抄， 突入搜捕； 劫掠,CET4,
rail,责骂， 抱怨；栏杆，横杆；铁轨，轨道；铁路,CET4,
railroad,铁路；由铁路运输,CET4,
railway,铁路,CET4,
rain,n.雨，雨水 vi.下雨,CET4,
rainbow,虹， 彩虹,CET4,
rainy,a.下雨的，多雨的,CET4,
raise,vt.举起；引起；提高,CET4,
rake,n.耙子 vi.耙；搜索,CET4,
rally,集合， 团结； 恢复， 重新振作；集会；公路汽车赛,CET4,
range,变动； 漫游， 四处搜索； 使排列成行；一系列；范围；射程，距离；脉；射击场,CET4,
rank,给…评定等级； 列入， 占特定等级；军衔，职衔；地位，社会阶层；排，行列,CET4,
rapid,a.快的 n.急流,CET4,
rapidly,ad.迅速地,CET4,
rare,稀有的， 冷僻的； 珍奇的； 出类拔萃的； 稀薄的； 煎得嫩的,CET4,
rarely,很少， 难得,CET4,
rat,鼠,CET4,
rate,被评价； 被列入特定级别；速度，速率；比率；价格，费用；等级；评估；给…定级，把…列为；值得，应得,CET4,
rather,ad.宁可，宁愿；相当,CET4,
ratio,比， 比率,CET4,
rational,理性的， 理智的； 合理的,CET4,
raw,自然状态的， 未加工过的； 生的； 未经分析的， 原始的； 生疏无知的， 未经训练的； 露肉而刺痛的,CET4,
ray,n.光线，射线，辐射线,CET4,
razor,n.剃刀,CET4,
reach,vt.抵达；伸出 vi.达到,CET4,
react,反应， 作出反应,CET4,
reaction,反应； 反作用,CET4,
read,vt.读，看懂 vi.读,CET4,
reader,n.读者；读物，读本,CET4,
readily,乐意地， 欣然地； 容易地； 很快地， 立即,CET4,
reading,n.读，阅读；读书,CET4,
ready,a.准备好的；愿意的,CET4,
real,a.真的；现实的,CET4,
realistic,现实的； 实际可行的； 现实主义的； 逼真的,CET4,
reality,现实， 实际； 真实,CET4,
realize,vt.实现；认识到,CET4,
really,ad.真正地；实在,CET4,
realm,界， 领域， 范围； 王国， 国度,CET4,
rear,后部的，背后的；后部，背面；后方；抚养， 饲养； 种植,CET4,
reason,n.理由；理性 vi.推理,CET4,
reasonable,通情达理的， 讲道理的； 合理的； 公道的； 尚好的， 过得去的,CET4,
rebel,反叛， 造反； 反对， 不服从；反叛分子， 反对者,CET4,
rebuild,重建， 改造； 复原,CET4,
recall,回忆； 召回， 叫回； 收回， 撤销,CET4,
receipt,发票， 收据； 收入， 进款； 收到， 接到,CET4,
receive,vt.收到；得到；接待,CET4,
receiver,听筒； 接收器,CET4,
recent,a.新近的，最近的,CET4,
recently,最近， 新近,CET4,
reception,招待会， 欢迎会； 接受； 接待； 接收效果,CET4,
recession,衰退， 衰退期,CET4,
reckon,认为， 估计； 指望， 盼望； 测算， 测量,CET4,
recognition,认出， 识别； 承认； 赏识， 表彰， 报偿,CET4,
recognize,认出， 识别； 承认； 赏识， 表彰， 报偿,CET4,
recollect,vt.回忆，追忆，想起,CET4,
recommend,推荐， 举荐； 劝告， 建议； 使成为可取； 使受欢迎,CET4,
recommendation,推荐， 推荐信； 建议； 优点， 可取之处,CET4,
record,n.记录；履历 vt.记录,CET4,
recorder,录音机， 录像机； 记录装置， 记录仪,CET4,
recover,重新获得， 挽回； 恢复,CET4,
recovery,恢复， 痊愈； 追回， 寻回， 收复,CET4,
recreation,娱乐活动， 消遣,CET4,
recreational,休养的； 娱乐的,CET4,
recruit,招募，吸收；新兵； 新成员,CET4,
red,a.红色的 n.红色,CET4,
reduce,vt.减少，减小；简化,CET4,
reduction,减少， 缩小； 下降， 降低,CET4,
reed,n.芦苇，芦杆，芦丛,CET4,
refer,vt.使求助于 vi.谈到,CET4,
reference,提到， 论及； 参考； 引文； 参考书目； 证明书， 证明人,CET4,
refine,精炼， 精制， 提纯； 使优美， 使完善,CET4,
reflect,反映， 显示； 反射， 映现； 深思， 考虑， 反省,CET4,
reflection,映像， 倒影； 反射； 反映， 表达； 非议； 沉思， 反省,CET4,
reflexion,n.反射；映象；反映,CET4,
reform,改革， 改良， 改造； 改正， 改过自新,CET4,
refresh,振作精神， 恢复活力,CET4,
refrigerator,冰箱， 冷藏库,CET4,
refugee,难民,CET4,
refusal,拒绝,CET4,
refuse,vt.拒绝 vt.拒绝,CET4,
regard,vt.把…看作；尊敬,CET4,
regarding,关于,CET4,
regardless,不顾后果地； 不管怎样， 无论如何,CET4,
region,地区， 地带， 区域； 范围， 幅度,CET4,
register,登记， 注册； 指示， 自动记下； 流露； 表示， 表达； 把挂号；登记；登记表,CET4,
regret,vt.懊悔；抱歉 n.懊悔,CET4,
regular,a.规则的；整齐的,CET4,
regularly,ad.有规律地,CET4,
regulate,管理， 控制； 调整， 调节,CET4,
regulation,规章， 规则； 管理， 控制； 调节,CET4,
reinforce,增强， 加强， 增援,CET4,
reject,拒绝； 拒纳， 退回；次品,CET4,
relate,有关， 涉及； 符合； 相处；使有关联；讲述，叙述,CET4,
relation,n.关系，联系；家属,CET4,
relationship,关系， 关联,CET4,
relative,有关系的，相对的；亲属， 亲戚,CET4,
relatively,ad.相对地，比较地,CET4,
relativity,相对论； 相关性,CET4,
relax,放松， 松弛； 放宽， 缓和,CET4,
release,释放， 排放； 解除， 解脱； 放开， 松开； 发布； 发行,CET4,
relevant,有关的， 切题的,CET4,
reliability,n.可靠性,CET4,
reliable,可靠的， 可信赖的,CET4,
relief,轻松， 宽慰； 缓解； 调剂， 消遣； 接替,CET4,
relieve,使轻松， 使宽慰， 缓解； 使得到调剂； 接替,CET4,
religion,宗教， 宗教信仰,CET4,
religious,宗教的； 笃信宗教的， 虔诚的,CET4,
reluctant,不情愿的， 勉强的,CET4,
rely,依靠， 依赖； 信赖， 指望,CET4,
remain,剩下，余留；保持；仍然是；残余； 残骸； 遗迹,CET4,
remains,n.残余，余额；废墟,CET4,
remark,说；评论说；话语； 谈论， 评论,CET4,
remarkable,值得注意的， 引人注目的； 异常的， 非凡的,CET4,
remedy,补救办法，纠正办法；药品；治疗法；补救， 纠正； 医治， 治疗,CET4,
remember,vt.记得，想起；记住,CET4,
remind,提醒， 使想起,CET4,
remonstrate,抗议,CET4,
remote,遥远的； 偏僻的； 关系疏远的； 脱离的； 微乎其微的； 孤高的， 冷淡的； 遥控的,CET4,
removal,除去， 消除； 移动， 搬迁,CET4,
remove,vt.移动，搬开；脱掉,CET4,
render,使得， 致使； 给予， 提供； 翻译,CET4,
renew,重新开始， 继续； 更新； 恢复； 延长有效期,CET4,
rent,租借，租用；出租，出借；租金； 出租,CET4,
repair,vt.&n.修理，修补,CET4,
repeat,vt.重说，重做 n.重复,CET4,
repeatedly,一再， 再三， 多次地,CET4,
repent,vi.悔悟，悔改 vt.后悔,CET4,
repetition,重复， 反复,CET4,
replace,代替， 取代； 更换， 调换； 把…放回原处,CET4,
replacement,代替， 取代； 更换， 调换； 替代的人,CET4,
reply,vi.&n.回答，答复,CET4,
report,vt.&vi.报告；汇报,CET4,
reporter,记者,CET4,
represent,作为…的代表； 表示， 象征； 描绘， 表现,CET4,
representative,有代表性的， 典型的；代表，代理人,CET4,
reproduce,复制， 再现； 繁殖， 生殖,CET4,
republic,n.共和国，共和政体,CET4,
republican,共和政体的；共和党的；共和党人,CET4,
reputation,名誉， 名气， 名声,CET4,
request,n.&v.请求，要求,CET4,
require,需要； 要求； 命令,CET4,
requirement,要求； 必要条件； 需要， 需要的东西,CET4,
rescue,营救， 救援,CET4,
research,n.&vi.调查，探究,CET4,
researcher,n.调查者；探究者,CET4,
resemble,像， 类似于,CET4,
reservation,预订； 保留； 犹豫； 保留地,CET4,
reserve,保留，留存；预订；储备； 保留； 拘谨， 矜持； 替补队员， 后备部队； 自然保护区,CET4,
reservoir,水库， 蓄水池； 储藏， 汇集,CET4,
residence,住处， 住宅； 居住； 居住资格,CET4,
resident,居住的， 定居的； 住校的， 住院的；居民，定居者；住院医生,CET4,
resign,辞职；辞去， 放弃； 使听从， 使顺从,CET4,
resignation,n.放弃，辞职，反抗,CET4,
resist,抵抗， 反抗， 抵制； 抗， 耐； 忍住， 拒受…的影响,CET4,
resistance,反抗， 抵制； 抵抗力， 抵抗性； 阻力； 电阻,CET4,
resistant,抵抗的， 抗…的， 耐…的,CET4,
resolution,正式决定， 决议； 决心， 决意； 解决， 解答； 分辨率， 清晰度,CET4,
resolve,解决， 解答； 决定， 决意,CET4,
resort,求助，凭借，诉诸；求助， 凭借， 诉诸； 求助的对象， 采用的手段； 常去之地， 胜地,CET4,
resource,资源； 财力； 应付办法， 谋略,CET4,
respect,尊敬；尊重；问候；方面；尊敬； 尊重,CET4,
respectful,a.恭敬的，尊重的,CET4,
respective,各自的， 各个的， 分别的,CET4,
respectively,各自地， 各个地， 分别地,CET4,
respond,回答， 答复； 作出反应， 响应,CET4,
respondent,回答者； 响应者； 被告,CET4,
response,回答， 答复； 反应， 响应,CET4,
responsibility,责任， 责任心； 职责， 义务,CET4,
responsible,需负责任的， 承担责任的； 有责任感的， 负责可靠的； 责任重大的， 重要的,CET4,
responsive,响应的； 敏感的， 易受影响的,CET4,
rest,n.休息；安静；静止；n.剩余部分；其余的人,CET4,
restaurant,n.餐馆，饭店，菜馆,CET4,
